Point Number,Code,Date,Time,Solution,Physical Station ID,Virtual Station ID,Northing,Easting,Ell Ht,Elev,Ant Ht,HRMS,VRMS,HDOP,VDOP,PDOP,GDOP,TDOP,GPS,GLONASS,GALILEO,BEIDOU,SBAS,QZSS
1,,2019-05-24,09:21:14,FIXED,0,4095,6687768.397,394444.816,42.543,25.048,1.684,0.014,0.031,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
2,,2019-05-24,09:21:14,FIXED,0,4095,6687768.397,394444.817,42.543,25.048,1.684,0.014,0.031,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
3,,2019-05-24,09:21:14,FIXED,0,4095,6687768.396,394444.817,42.544,25.048,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
4,,2019-05-24,09:21:14,FIXED,0,4095,6687768.396,394444.818,42.543,25.048,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
5,,2019-05-24,09:21:14,FIXED,0,4095,6687768.396,394444.818,42.545,25.050,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
6,,2019-05-24,09:21:15,FIXED,0,4095,6687768.397,394444.818,42.548,25.052,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
7,,2019-05-24,09:21:15,FIXED,0,4095,6687768.396,394444.817,42.545,25.049,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
8,,2019-05-24,09:21:15,FIXED,0,4095,6687768.397,394444.818,42.546,25.051,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
9,,2019-05-24,09:21:15,FIXED,0,4095,6687768.398,394444.818,42.549,25.054,1.684,0.014,0.030,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
10,,2019-05-24,09:21:15,FIXED,0,4095,6687768.397,394444.818,42.545,25.050,1.684,0.014,0.031,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
11,,2019-05-24,09:21:15,FIXED,0,4095,6687768.396,394444.818,42.547,25.051,1.684,0.014,0.031,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
12,,2019-05-24,09:21:15,FIXED,0,4095,6687768.397,394444.819,42.546,25.050,1.684,0.014,0.031,0.512,1.049,1.168,1.348,,9,7,7,4,0,0
13,,2019-05-24,09:21:15,FIXED,0,4095,6687768.394,394444.818,42.543,25.047,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
14,,2019-05-24,09:21:15,FIXED,0,4095,6687768.395,394444.818,42.543,25.048,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
15,,2019-05-24,09:21:15,FIXED,0,4095,6687768.395,394444.819,42.542,25.047,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
16,,2019-05-24,09:21:16,FIXED,0,4095,6687768.395,394444.819,42.544,25.048,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
17,,2019-05-24,09:21:16,FIXED,0,4095,6687768.395,394444.819,42.544,25.049,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
18,,2019-05-24,09:21:16,FIXED,0,4095,6687768.396,394444.819,42.547,25.052,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
19,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.546,25.051,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
20,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.546,25.051,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
21,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.546,25.051,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
22,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.546,25.051,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
23,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.544,25.049,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
24,,2019-05-24,09:21:16,FIXED,0,4095,6687768.398,394444.817,42.541,25.045,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
25,,2019-05-24,09:21:16,FIXED,0,4095,6687768.399,394444.817,42.542,25.047,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
26,,2019-05-24,09:21:17,FIXED,0,4095,6687768.398,394444.817,42.545,25.050,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
27,,2019-05-24,09:21:17,FIXED,0,4095,6687768.398,394444.817,42.543,25.047,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
28,,2019-05-24,09:21:17,FIXED,0,4095,6687768.398,394444.817,42.544,25.049,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
29,,2019-05-24,09:21:17,FIXED,0,4095,6687768.399,394444.818,42.544,25.048,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
30,,2019-05-24,09:21:17,FIXED,0,4095,6687768.398,394444.818,42.541,25.045,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
31,,2019-05-24,09:21:17,FIXED,0,4095,6687768.398,394444.818,42.542,25.047,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
32,,2019-05-24,09:21:17,FIXED,0,4095,6687768.395,394444.818,42.542,25.046,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
33,,2019-05-24,09:21:17,FIXED,0,4095,6687768.394,394444.818,42.541,25.045,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
34,,2019-05-24,09:21:17,FIXED,0,4095,6687768.395,394444.819,42.538,25.043,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
35,,2019-05-24,09:21:17,FIXED,0,4095,6687768.394,394444.818,42.538,25.043,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
36,,2019-05-24,09:21:18,FIXED,0,4095,6687768.394,394444.818,42.538,25.043,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
37,,2019-05-24,09:21:18,FIXED,0,4095,6687768.394,394444.818,42.536,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
38,,2019-05-24,09:21:18,FIXED,0,4095,6687768.393,394444.819,42.537,25.042,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
39,,2019-05-24,09:21:18,FIXED,0,4095,6687768.393,394444.819,42.537,25.042,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
40,,2019-05-24,09:21:18,FIXED,0,4095,6687768.394,394444.819,42.534,25.039,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
41,,2019-05-24,09:21:18,FIXED,0,4095,6687768.394,394444.819,42.535,25.040,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
42,,2019-05-24,09:21:18,FIXED,0,4095,6687768.393,394444.819,42.533,25.037,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
43,,2019-05-24,09:21:18,FIXED,0,4095,6687768.393,394444.819,42.531,25.036,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
44,,2019-05-24,09:21:18,FIXED,0,4095,6687768.393,394444.819,42.534,25.039,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
45,,2019-05-24,09:21:18,FIXED,0,4095,6687768.395,394444.818,42.534,25.039,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
46,,2019-05-24,09:21:19,FIXED,0,4095,6687768.395,394444.818,42.536,25.041,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
47,,2019-05-24,09:21:19,FIXED,0,4095,6687768.394,394444.818,42.535,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
48,,2019-05-24,09:21:19,FIXED,0,4095,6687768.395,394444.818,42.538,25.043,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
49,,2019-05-24,09:21:19,FIXED,0,4095,6687768.395,394444.818,42.539,25.043,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
50,,2019-05-24,09:21:19,FIXED,0,4095,6687768.394,394444.817,42.531,25.036,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
51,,2019-05-24,09:21:19,FIXED,0,4095,6687768.395,394444.818,42.536,25.041,1.684,0.014,0.031,0.512,1.049,1.167,1.348,,9,7,7,3,0,0
52,,2019-05-24,09:21:19,FIXED,0,4095,6687768.392,394444.819,42.536,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
53,,2019-05-24,09:21:19,FIXED,0,4095,6687768.392,394444.819,42.535,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
54,,2019-05-24,09:21:19,FIXED,0,4095,6687768.392,394444.818,42.533,25.037,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
55,,2019-05-24,09:21:19,FIXED,0,4095,6687768.392,394444.818,42.536,25.041,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
56,,2019-05-24,09:21:20,FIXED,0,4095,6687768.392,394444.818,42.535,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
57,,2019-05-24,09:21:20,FIXED,0,4095,6687768.392,394444.818,42.532,25.037,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
58,,2019-05-24,09:21:20,FIXED,0,4095,6687768.392,394444.818,42.533,25.038,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
59,,2019-05-24,09:21:20,FIXED,0,4095,6687768.393,394444.817,42.535,25.040,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
60,,2019-05-24,09:21:20,FIXED,0,4095,6687768.391,394444.817,42.534,25.039,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
61,,2019-05-24,09:21:20,FIXED,0,4095,6687768.392,394444.816,42.532,25.037,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
62,,2019-05-24,09:21:20,FIXED,0,4095,6687768.398,394444.816,42.523,25.028,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
63,,2019-05-24,09:21:20,FIXED,0,4095,6687768.397,394444.817,42.522,25.027,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
64,,2019-05-24,09:21:20,FIXED,0,4095,6687768.398,394444.817,42.526,25.030,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
65,,2019-05-24,09:21:20,FIXED,0,4095,6687768.396,394444.817,42.521,25.026,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
66,,2019-05-24,09:21:21,FIXED,0,4095,6687768.397,394444.816,42.524,25.028,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
67,,2019-05-24,09:21:21,FIXED,0,4095,6687768.398,394444.816,42.523,25.028,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
68,,2019-05-24,09:21:21,FIXED,0,4095,6687768.398,394444.815,42.526,25.030,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
69,,2019-05-24,09:21:21,FIXED,0,4095,6687768.398,394444.815,42.522,25.027,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
70,,2019-05-24,09:21:21,FIXED,0,4095,6687768.398,394444.815,42.520,25.025,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
71,,2019-05-24,09:21:21,FIXED,0,4095,6687768.399,394444.816,42.524,25.029,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
72,,2019-05-24,09:21:21,FIXED,0,4095,6687768.396,394444.817,42.526,25.030,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,5,0,0
73,,2019-05-24,09:21:21,FIXED,0,4095,6687768.395,394444.816,42.523,25.028,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
74,,2019-05-24,09:21:21,FIXED,0,4095,6687768.396,394444.817,42.527,25.032,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
75,,2019-05-24,09:21:21,FIXED,0,4095,6687768.395,394444.816,42.522,25.027,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
76,,2019-05-24,09:21:22,FIXED,0,4095,6687768.395,394444.816,42.526,25.031,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
77,,2019-05-24,09:21:22,FIXED,0,4095,6687768.395,394444.816,42.526,25.031,1.684,0.014,0.030,0.512,1.049,1.167,1.348,,9,7,7,4,0,0
