,Parameter,Precision (m)*,Accuracy (m)**
0,Horizontal RMSE***,0.009,0.034
1,Vertical RMSE****,0.021,0.152
2,Horizontal 2dRMSE***,0.018,0.069
3,Vertical 2dRMSE****,0.041,0.304
4,North Coordinate Standard Deviation,0.0074,
5,East Coordinate Standard Deviation,0.0054,
6,Height Standard Deviation,0.0205,
7,North Coordinate Mean,6687768.3636,
8,East Coordinate Mean,394444.8345,
9,Height Mean,25.2806,
10,North Coordinate Median,6687768.363,
11,East Coordinate Median,394444.835,
12,Height Median,25.28,
