,Parameter,Value
0,Total Number of Measurements,12089.0
1,Number of All Satellites Mean (No Outliers or Float Solutions Removed),22.8
2,Number of All Satellites Min and Max (No Outliers or Float Solutions Removed),Min: 15 and Max: 32
3,Number of GPS Satellites Mean (No Outliers or Float Solutions Removed),9.6
4,Number of GLONASS Satellites Mean (No Outliers or Float Solutions Removed),6.8
5,Number of GALILEO Satellites Mean (No Outliers or Float Solutions Removed),6.4
6,Number of BEIDOU Satellites Mean (No Outliers or Float Solutions Removed),0.0
7,Mean of HDOP Values (No Outliers or Float Solutions Removed),0.6
8,Mean of VDOP Values (No Outliers or Float Solutions Removed),1.1
9,Mean of PDOP Values (No Outliers or Float Solutions Removed),1.2
10,Mean of TDOP Values (No Outliers or Float Solutions Removed),
11,Mean of GDOP Values (No Outliers or Float Solutions Removed),1.4
12,User-Defined Tolerance Values,"North and East 0.1m, Height 0.2m"
13,Number of Measurements Above the Set Tolerance Values,19
14,Above Tolerance Values Percentage,0.16%
15,Number of All Satellites Mean (Outliers Removed),22.8
16,Number of Satellites Min and Max (Outliers Removed),Min: 15 and Max: 26
17,Number of GPS Satellites Mean (Outliers Removed),9.6
18,Number of GLONASS Satellites Mean (Outliers Removed),6.8
19,Number of GALILEO Satellites Mean (Outliers Removed),6.4
20,Number of BEIDOU Satellites Mean (Outliers Removed),0.0
21,Mean of HDOP Values (Outliers Removed),0.6
22,Mean of VDOP Values (Outliers Removed),1.1
23,Mean of PDOP Values (Outliers Removed),1.2
24,Mean of TDOP Values (Outliers Removed),
25,Mean of GDOP Values (Outliers Removed),1.4
