,Parameter,METHOD1: P*,METHOD1: A**,METHOD2: P*,METHOD2: A**,METHOD3: P*,METHOD3: A**,METHOD4: P*,METHOD4: A**,METHOD5: P*,METHOD5: A**
0,Horizontal RMSE*** ± (m),0.006,0.008,0.006,0.011,0.004,0.014,0.01,0.024,0.006,0.023
1,Vertical RMSE**** ± (m),0.019,0.076,0.031,0.051,0.008,0.083,0.018,0.121,0.014,0.156
2,Horizontal 2dRMSE*** ± (m),0.013,0.016,0.012,0.022,0.007,0.027,0.021,0.048,0.012,0.045
3,Vertical 2dRMSE**** ± (m),0.037,0.153,0.062,0.102,0.017,0.166,0.036,0.242,0.028,0.312
4,North Coordinate Std ± (m),0.0047,,0.0043,,0.0024,,0.0061,,0.005,
5,East Coordinate Std ± (m),0.0044,,0.0041,,0.0026,,0.0084,,0.0034,
6,Height Std ± (m),0.0187,,0.0311,,0.0084,,0.0182,,0.014,
7,North Coordinate Mean (m),6687768.387,,6687768.4,,6687768.4035,,6687768.4127,,6687768.3756,
8,East Coordinate Mean (m),394444.8174,,394444.813,,394444.8123,,394444.8169,,394444.8314,
9,Height Mean (m),25.056,,25.0896,,25.0473,,25.2498,,25.2854,
10,North Coordinate Median (m),6687768.387,,6687768.4,,6687768.403,,6687768.412,,6687768.376,
11,East Coordinate Median (m),394444.817,,394444.812,,394444.812,,394444.815,,394444.831,
12,Height Median (m),25.056,,25.103,,25.046,,25.2513,,25.288,
