Reference Point Number,Northing,Easting,Elevation
95M9541,6713924.166,374926.771,104.41
90M9180,6687768.3910,394444.8160,25.1300
4_1_E6,6695959.0256,366763.3768,54.9418
345,6671044.5721,381494.4816,39.7970
94M9410E,6864116.743,243806.348,85.34
1_2_E6,6695826.7723,366685.3731,48.9797
77M0010,6702175.022,391531.871,44.59
05M6039,6865686.318,267721.240,110.43
90M8947B,6956245.606,620326.163,82.54
98M3112,6966414.344,620710.672,84.341
3_3_E6,6695615.3497,366483.8165,53.7627
92M3706,7094202.600,378106.239,82.620
92M5001,7108235.772,353572.360,53.096
00M2053B,7558152.664,443588.626,312.541
99M2128,7581216.699,454139.436,264.721
